k,silhouette,bic
2,0.2665464458548681,2390934.9073197898
3,0.19758869860061348,2256645.9966894677
4,0.1804929939920454,2221053.9563910374
5,0.12377739633486397,2174786.021051311
6,0.06658969314505446,2143298.8891314194
7,0.07241032944728669,2119963.210385158
8,0.0766707449244147,2105803.2468716158
9,0.06395469647688617,2088075.3452679368
10,0.06642281107869394,2083969.1965157588
11,0.06077736578103768,2072515.9422391185
12,0.04919490325867835,2066369.9106837339
13,0.05015382329110688,2060797.7491075501
14,0.034248565605542305,2054453.1149571743
15,0.04393025009614209,2055737.5211226235
